rider_type,gender,age_group,time_slot,weather,weekend,police_presence,traffic_condition,num_lanes,intersection_id,has_signal,intersection_type,red_light_running,no_turn_signal,helmet_nonuse,mobile_phone_use
Delivery,Male,>=25,Evening,Sunny,No,Yes,Normal,>3,15,Yes,4-way,0,0,0,0
Delivery,Male,<25,Morning,Sunny,Yes,No,Normal,3,7,Yes,4-way,0,0,0,0
Delivery,Male,>=25,Morning,Rainy,No,No,Dense,2,9,Yes,4-way,0,0,0,1
Delivery,Male,<25,Evening,Sunny,No,Yes,Normal,1,21,Yes,T-junction,0,0,0,0
Ride-hailing,Male,>=25,Evening,Sunny,No,No,Normal,>3,16,Yes,4-way,0,0,0,1
Delivery,Male,>=25,Evening,Cloudy,Yes,No,Normal,3,19,Yes,T-junction,0,0,0,1
Ride-hailing,Male,<25,Morning,Sunny,Yes,No,Dense,2,26,Yes,T-junction,0,0,0,0
Delivery,Male,>=25,Evening,Rainy,No,Yes,Dense,3,12,Yes,4-way,0,0,0,0
Private,Female,<25,Morning,Sunny,No,Yes,Normal,3,18,Yes,4-way,0,0,0,0
Ride-hailing,Male,>=25,Noon,Cloudy,No,No,Normal,2,24,No,T-junction,0,1,0,0
Private,Male,>=25,Evening,Sunny,No,No,Dense,2,16,Yes,T-junction,0,1,0,0
Ride-hailing,Male,<25,Morning,Cloudy,Yes,No,Dense,>3,5,Yes,4-way,0,1,0,0
Delivery,Male,>=25,Noon,Sunny,No,No,Normal,3,2,Yes,Roundabout,0,0,0,0
Delivery,Male,<25,Morning,Rainy,No,Yes,Dense,2,16,Yes,4-way,0,0,0,0
Delivery,Female,>=25,Evening,Cloudy,No,No,Dense,3,6,Yes,T-junction,0,0,0,0
Ride-hailing,Male,<25,Evening,Sunny,Yes,No,Normal,1,8,No,4-way,0,1,0,0
Ride-hailing,Male,>=25,Evening,Sunny,No,No,Normal,>3,19,Yes,T-junction,0,0,0,0
Delivery,Male,<25,Evening,Cloudy,Yes,Yes,Dense,3,1,No,Roundabout,0,0,0,0
Private,Female,<25,Noon,Sunny,No,Yes,Normal,>3,29,Yes,4-way,0,0,0,0
Private,Female,>=25,Morning,Cloudy,No,No,Normal,2,21,No,4-way,0,1,0,0
Ride-hailing,Male,<25,Noon,Sunny,No,No,Normal,2,24,Yes,4-way,0,1,0,1
Ride-hailing,Male,<25,Evening,Cloudy,No,No,Normal,3,5,Yes,T-junction,0,0,0,1
Private,Female,>=25,Evening,Cloudy,No,No,Normal,2,19,Yes,4-way,0,0,0,0
Private,Female,>=25,Noon,Sunny,No,No,Normal,2,7,Yes,T-junction,0,0,1,0
Private,Male,>=25,Morning,Sunny,Yes,No,Normal,3,10,Yes,T-junction,0,0,0,0
